Action_Plan_Product_Name__c ,Product_Name__c 
Bajaj Allianz Individual Health Guard,Bajaj Allianz Health Guard
Bajaj Allianz Premium Personal Guard,Bajaj Allianz Premier Personal Guard
Bajaj Allianz Critical Illness,Bajaj Allianz Critical Illness Cover
Bajaj Allianz Extra Care,Bajaj Allianz Extra Care
Birla SL Frontline Equity,Birla Sun Life Frontline Equity Fund
DSP Equity,DSP BlackRock Equity Fund 
IDFC Premier Equity,IDFC Premier Equity Fund - Plan A
Pramerica Equity,Pramerica Equity Fund
Axis Triple Advantage,Axis Triple Advanatage Fund
BSL Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Pramerica Short Term Income,Pramerica Short Term Income Fund
BSL Frontline Equity,Birla Sun Life Frontline Equity Fund
BSL Savings,Birla Sun Life Savings Fund
Kotak 50 Equity,Kotak 50
Birla Small & Mid Cap Fund,Birla Sun Life MidCap Fund
HDFC Long Term Equity,HDFC Long Term Advantage Fund
Franklin India Blue Chip Fund,Franklin India Bluechip Fund
Axis Treasury Advantage,Axis Treasury Advantage Fund
Templeton India Low Duration,Templeton India Growth
HDFC Top 200,HDFC Top 200 Fund
BSL Dynamic,Birla Sun Life Dynamic Bond Fund
Birla SL - Dynamic,Birla Sun Life Dynamic Bond Fund
Reliance - Gold Savings Fund,Reliance Gold Savings Fund
HDFC - Top 200 Fund,HDFC Top 200 Fund
IDFC - Premier Equity Fund,IDFC Premier Equity Fund - Plan A
DSP BlackRock - Equity Fund,DSP BlackRock Equity Fund 
Reliance Gold Savings,Reliance Gold Savings Fund
Savings account,Savings Account
IDFC MM Treasury A,IDFC Money Manager Fund - Treasury Plan A
Bajaj Allianz Health Guard,Bajaj Allianz Health Guard
ICICI Focused Bluechip Equity,ICICI Blue Chip Fund Growth
Reliance Gold Saving,Reliance Gold Savings Fund
Pramerica Short Term,Pramerica Short Term Income Fund
BSL Savings Div Yield,Birla Sun Life Dividend Yield Plus
Franklin India Prima Fund,Franklin India Prima Fund
HDFC Top 200 Dividend,HDFC Top 200 Fund
Franklin India Blue Chip Fund Dividend,Franklin India Bluechip Fund
Axis Treasury Advantage Fund,Axis Treasury Advantage Fund
BLS Dynamic Bond Fund,Birla Sun Life Dynamic Bond Fund
Franklin India Blue Chip,Franklin India Bluechip Fund
Franklin India Blue Chip Equity,Franklin India Bluechip Fund
Franklin India Prima,Franklin India Prima Fund
HDFC Liquid Fund DDR,HDFC Liquid Fund
DSP MM G,DSP BlackRock Money Manager Fund
HDFC Cash Mgmt Treasury Advtg D,HDFC Cash Management Treasury Advantage Fund
